감정_대분류	문장
3	사십 대에 접어들면서 머리카락이 많이 빠져 고민이야.이러다 대머리가 되지 않을까 걱정이야.아직 병원 진료는 받지 않았고 탈모방지용 샴푸를 쓰고 있어.
3	친구 때문에 눈물 나.내 친구가 나한테 거짓말했어.
5	새로 간 치과에서 조금 썩기만 한 이를 임플란트를 하라고 했어. 과잉진료는 안 한다더니.예전에 다니던 치과에서는 심하지 않은 충치니까 관리만 하라고 했는데 말이야. 오히려 신뢰가 떨어지네.좀 멀어도 이사 오기 전에 살던 동네의 믿을만한 옛 치과를 가야겠어.
3	남편과 건강하게 오랫동안 살고 싶은데 남편이 당뇨병에 걸렸다.원래 고혈압 질환이 있었는데 이번에 당뇨병까지 걸린 거야.병원에서 권해주는 약을 잘 먹고 몸에 해로운 음식은 먹지 않는 게 좋겠어.
3	지난주에 주식이 폭락해서 너무 큰 손해를 봤어. 어떻게 해야 좋을지 모르겠고 정신이 나갈 것 같아.도통 어떻게 해야 할지 모르겠어. 주식이 다시 올라야 정신을 차릴 수 있을 것 같아.손해가 엄청나게 커서 재정적으로 심각해졌어. 당장 주식이 회복되지 않는 한 정신을 차릴 수 없을 것 같아.
3	어릴 때는 친구들과 사이가 좋았는데 요즘 친구들과는 관계가 서먹해서 친구의 의미가 없는 것 같아.그런 건 아닌데 친구들이 내 연락을 피하는 것 같은 느낌이 들어. 나도 연락을 안 하다 보니 그런 기분이 들더라고.
3	올해 경기가 안 좋아서 그런지 내 월급 인상은 없었어.맞아 정말 실망스럽기 그지없어. 월급이 올라야 결혼 자금을 모을 텐데.나이지긴 무슨 오늘은 너무 실망스러운 날이다.
3	난 아주 성실하게 살아왔다고 자신하지만 주변에 남은 이가 아무도 없어. 공허함에 눈물만 나네.성실한 것과 주위에 사람이 있는 것은 차이가 있는 것이었어. 슬픔이 차오르네.마을회관에 가서 새로운 친구들을 만들고 외로움과 공허함을 채우겠어.
5	부인이 건강검진 결과가 나왔는데 건강 상태가 좋질 않아 충격을 받은 모양이야.젊었을 때부터 몸이 허약해 신경이 쓰였는데 이젠 내가 세심하게 보살펴야 할 것 같아.우선 스트레스 덜 받게 하고 같이 운동도 하면서 대화도 많이 하려고 해.
5	나 병원에 가 봐야 할 것 같아.아침에 운동하다가 다친 것 같아. 발목이 많이 아프네.응 건강하게 살려고 아침 운동을 했는데 운동중에 발목이 삐끗한 것 같아.
5	아들 녀석이 학원을 제대로 다니는가 싶었는데 그게 아니었어. 정말 속상해.이 녀석이 학원을 간다고 아내한테 이야기하고서는 매일 게임방을 다녔대. 학업도 걱정이지만 인간적으로 정말 배신감 느껴.아이 키우는 게 갈수록 힘이 드는 것 같아. 사춘기라고 반항심만 늘었나 봐.
3	아직도 아들을 중심으로 돌아가는 가족에 환멸을 느껴.맞아. 나도 사람이고 서러움을 느낀다고 부모님께 말씀드릴 거야.
3	믿었던 친구에게 돈 때문에 배신당해서 너무 슬프다.믿었던 친구도 이렇게 배신을 하는데 믿을 수 있는 사람이 있겠어? 너무 슬프다.아무리 친한 친구라도 돈 거래는 하지 말라 했는데 내 실수니까. 앞으로는 그런 일 만들지 말아야지.
3	오랜만에 만난 친구들에게 비통한 마음이 들었어.내가 변한 건지 친구들이 변한 건지는 알 수 없지만 뭔가 예전 같지 않았던 것 같아.기분 전환이 필요할 것 같은데 어떻게 하는 것이 좋은지 모르겠어.
3	내 직업이 십 년 안에 기계로 대체될 거래.남은 인생을 뭐하고 살아야 할지 막막하고 우울해.어떤 새로운 기술을 배워야 할지 찾아봐야겠어.
5	치과의 과잉 진료로 안 해도 되는 임플란트까지 하게 되어 큰돈을 지불했어.아직 괜찮은 것 같은데 임플란트를 하라고 해서 이상하게 생각했었는데. 너무 큰돈이 나가서 억울할 따름이야.만나는 사람들마다 이 치과엔 절대 가지 말라고 이야기할 거야. 다른 피해자가 또 생기게 할 수는 없지.
3	요즘 같은 시기에는 결혼도 하고 싶지 않아.그냥 희생하는 부분이 많은 것 같아.
